id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
linear-operational-workspace-0001,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-001-img_04fb560c2ab9.webp,issue-list-table,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0002,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-002-img_054b58de47d6.webp,project-roadmap-board,768,521,#eaeaeb,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0003,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-003-img_0f25c44abc7b.webp,cycle-status-panel,768,521,#eae9ea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0004,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-004-img_154bdf9926bd.webp,command-menu,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0005,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-005-img_20b058ef7813.webp,workspace-sidebar,768,521,#e5e8ea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0006,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-006-img_2561a9b58053.webp,issue-detail-pane,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0007,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-007-img_2585ee097767.webp,status-priority-pill,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0008,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-008-img_27636f5cf694.webp,integration-settings,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0009,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-009-img_2af91d8a2d41.webp,onboarding-workspace,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0010,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-010-img_2c8970bb87d8.webp,pricing-feature-grid,768,521,#eae9ea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0011,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-011-img_34fd4691669a.webp,issue-list-table,768,521,#e6e6e6,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0012,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-012-img_3cc4e0c4c0aa.webp,project-roadmap-board,768,521,#eaeaeb,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0013,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-013-img_52b4c63f9694.webp,cycle-status-panel,768,521,#eaeaea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0014,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-014-img_54702b208f16.webp,command-menu,768,521,#eae9ea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0015,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-015-img_97894cca6bf3.webp,workspace-sidebar,768,521,#ebebec,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0016,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-016-img_9dde6395ce99.webp,issue-detail-pane,768,521,#ebeaeb,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0017,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-017-img_a17da1e18065.webp,status-priority-pill,768,521,#eae9ea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0018,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-018-img_a6526bd39e98.webp,integration-settings,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0019,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-019-img_ac7dec4627ae.webp,onboarding-workspace,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0020,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-020-img_b16f41a58d20.webp,pricing-feature-grid,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0021,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-021-img_c05d8c4f5801.webp,issue-list-table,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0022,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-022-img_c9095094e395.webp,project-roadmap-board,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0023,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-023-img_d3efd4ae396a.webp,cycle-status-panel,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0024,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-024-img_d8386790dec8.webp,command-menu,768,521,#c2c2c3,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0025,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-025-img_dee4358bc8cf.webp,workspace-sidebar,768,521,#eaeaea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0026,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-026-img_e12f92c2bf04.webp,issue-detail-pane,768,521,#e8e7e8,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0027,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-027-img_e13b29fb49c8.webp,status-priority-pill,768,521,#eae9ea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0028,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-028-img_e69dc2c7dc37.webp,integration-settings,768,521,#ebeaeb,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0029,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-029-img_eb42f7eec5d4.webp,onboarding-workspace,768,521,#eae9ea,Mobbin MCP cached image export,screenshot-derived
linear-operational-workspace-0030,screen,styles/linear-operational-workspace/evidence/mobbin/screens/screen-030-img_fa5977055dac.webp,pricing-feature-grid,768,521,#e9e9ea,Mobbin MCP cached image export,screenshot-derived
