id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
metamask-crypto-wallet-trust-0001,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-001-img_0aa69385d3dd.webp,wallet-home-balance,768,521,#ebeded,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0002,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-002-img_35ceedc230dd.webp,token-list,768,521,#969696,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0003,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-003-img_3b50fdbdbae0.webp,send-receive-flow,768,521,#dbdee7,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0004,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-004-img_3b9b5417a8a8.webp,swap-quote-card,768,521,#e9eae7,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0005,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-005-img_3cf2984b1b81.webp,network-selector,768,521,#aaaaab,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0006,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-006-img_3dfdfac3b208.webp,gas-fee-warning,768,521,#c8c8c9,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0007,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-007-img_7a7ac0e8e44e.webp,connect-dapp-permission,768,521,#c8c8c9,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0008,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-008-img_7c9195fb188d.webp,security-warning,768,521,#a2a2a2,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0009,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-009-img_880ca668253d.webp,portfolio-card,768,523,#e4e5e5,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0010,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-010-img_934e9eed5752.webp,seed-phrase-onboarding,768,521,#ededed,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0011,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-011-img_99e1bd4fad4e.webp,wallet-home-balance,768,521,#ececeb,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0012,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-012-img_9caccd4835cc.webp,token-list,768,521,#0c1622,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0013,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-013-img_a36bd12bdb7d.webp,send-receive-flow,768,521,#ebecea,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0014,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-014-img_aa9e226b3e4a.webp,swap-quote-card,768,521,#171718,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0015,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-015-img_ab23788c456f.webp,network-selector,768,523,#d3d4d4,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0016,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-016-img_b66e13267b75.webp,gas-fee-warning,768,521,#b9b9b7,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0017,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-017-img_f1d8f8535636.webp,connect-dapp-permission,768,521,#e9eae8,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0018,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-018-img_f1ef95c56eb0.webp,security-warning,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0019,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-019-img_f6ef17107fbf.webp,portfolio-card,768,521,#a5a2a5,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0020,screen,styles/metamask-crypto-wallet-trust/evidence/mobbin/screens/screen-020-img_fb23c50e8051.webp,seed-phrase-onboarding,768,521,#e9e8e6,Mobbin MCP cached image export,screenshot-derived
metamask-crypto-wallet-trust-0021,section,styles/metamask-crypto-wallet-trust/evidence/mobbin/sections/section-001-img_0634ba0b75ac.webp,wallet-home-balance,768,528,#d89f8b,Mobbin MCP cached image export,screenshot-derived
