id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
vercel-developer-control-plane-0001,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-001-img_16ad9a37764d.webp,deployment-list,768,521,#eaebec,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0002,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-002-img_1839ceb3890b.webp,project-card,768,521,#e6e7e7,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0003,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-003-img_355c66e67b16.webp,logs-console,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0004,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-004-img_3da3558662df.webp,environment-variable-table,768,521,#232527,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0005,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-005-img_4d37fd2d53ba.webp,domain-settings,768,521,#e9eaea,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0006,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-006-img_57af73048453.webp,analytics-chart,768,521,#ececea,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0007,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-007-img_6c04073096dd.webp,template-gallery,768,521,#e9eaeb,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0008,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-008-img_76c62e71e894.webp,docs-code-block,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0009,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-009-img_7d59d4f4defe.webp,pricing-plan-grid,768,521,#e8e8e7,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0010,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-010-img_85176b7d5314.webp,import-project-flow,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0011,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-011-img_86d4aa789731.webp,deployment-list,768,521,#ebecec,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0012,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-012-img_8fbc67208857.webp,project-card,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0013,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-013-img_931a0c6c1571.webp,logs-console,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0014,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-014-img_96cb21fc805f.webp,environment-variable-table,768,521,#e5e6e7,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0015,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-015-img_b423e1a15442.webp,domain-settings,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0016,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-016-img_b5747cffe17f.webp,analytics-chart,768,521,#eaeaea,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0017,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-017-img_bb2d9584f5ad.webp,template-gallery,768,521,#e9e9e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0018,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-018-img_c7ea047e9620.webp,docs-code-block,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0019,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-019-img_d280c865c721.webp,pricing-plan-grid,768,521,#eaeaea,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0020,screen,styles/vercel-developer-control-plane/evidence/mobbin/screens/screen-020-img_f31dd60fdd68.webp,import-project-flow,768,521,#e6e7e9,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0021,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-001-img_083c385928b9.webp,deployment-list,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0022,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-002-img_0cc41121cc4e.webp,project-card,768,523,#ebebeb,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0023,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-003-img_2815939c2e57.webp,logs-console,768,521,#d8dacf,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0024,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-004-img_2bf842636a40.webp,environment-variable-table,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0025,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-005-img_2c90b6960d14.webp,domain-settings,768,523,#e2e4e5,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0026,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-006-img_3ed24a1dd7ed.webp,analytics-chart,768,523,#eaeaea,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0027,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-007-img_4089727de722.webp,template-gallery,768,523,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0028,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-008-img_5cdaec7075b7.webp,docs-code-block,768,523,#e8e8e9,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0029,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-009-img_650c340ecf64.webp,pricing-plan-grid,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0030,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-010-img_74b40032bec5.webp,import-project-flow,768,523,#d6d1db,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0031,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-011-img_77070dd70210.webp,deployment-list,768,523,#eaeaeb,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0032,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-012-img_7aa2510fedd4.webp,project-card,768,523,#e7e6e6,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0033,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-013-img_90291fb8994e.webp,logs-console,768,521,#e5e5e5,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0034,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-014-img_9cbf18e04be8.webp,environment-variable-table,768,521,#e7e7e7,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0035,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-015-img_a757dc7ecae6.webp,domain-settings,768,523,#e7e7e7,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0036,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-016-img_c2b1edaaf002.webp,analytics-chart,768,521,#e5e5e5,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0037,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-017-img_dbc0e26ec8d7.webp,template-gallery,768,521,#dfdfe0,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0038,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-018-img_e61f283a0799.webp,docs-code-block,768,523,#b8b8b8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0039,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-019-img_ea3a71012517.webp,pricing-plan-grid,768,523,#e2e2e2,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0040,section,styles/vercel-developer-control-plane/evidence/mobbin/sections/section-020-img_fef97a188bf8.webp,import-project-flow,768,521,#dfdfdf,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0041,flow,styles/vercel-developer-control-plane/evidence/mobbin/flows/flow-preview-001-img_006d45729056.webp,deployment-list,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0042,flow,styles/vercel-developer-control-plane/evidence/mobbin/flows/flow-preview-002-img_04bb5eb487e8.webp,project-card,768,521,#ebecec,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0043,flow,styles/vercel-developer-control-plane/evidence/mobbin/flows/flow-preview-003-img_0861c4d18d14.webp,logs-console,768,521,#e4e4e7,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0044,flow,styles/vercel-developer-control-plane/evidence/mobbin/flows/flow-preview-004-img_10fb18d30be3.webp,environment-variable-table,768,521,#edecec,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0045,flow,styles/vercel-developer-control-plane/evidence/mobbin/flows/flow-preview-005-img_1df1fea639ea.webp,domain-settings,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
vercel-developer-control-plane-0046,flow,styles/vercel-developer-control-plane/evidence/mobbin/flows/flow-preview-006-img_20c92b23f081.webp,analytics-chart,768,521,#e4e4e7,Mobbin MCP cached image export,screenshot-derived
