id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
airbnb-marketplace-warm-consumer-0001,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-001-img_1c303f7bc8ae.webp,search-bar,768,521,#aea9a4,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0002,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-002-img_2dcd602bcc2b.webp,category-tabs,768,521,#cdcac7,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0003,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-003-img_3081a0644bc0.webp,listing-card,768,521,#a6a8a9,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0004,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-004-img_3dd3533e8bf5.webp,map-results-layout,768,521,#a7abab,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0005,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-005-img_43ee5a87d436.webp,filter-modal,768,521,#c2c0be,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0006,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-006-img_46d5a1fdbdca.webp,listing-detail-gallery,768,521,#c2bdb9,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0007,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-007-img_47731b13a0cc.webp,booking-card,768,521,#b0ada8,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0008,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-008-img_4c3be3952e3c.webp,reviews-section,768,521,#b1aeaa,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0009,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-009-img_4c8b5b2be33f.webp,host-profile-card,768,521,#a6a9a9,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0010,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-010-img_5da0acc6f43a.webp,checkout-reservation-flow,768,521,#a7abab,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0011,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-011-img_6133050e7cf1.webp,search-bar,768,521,#919796,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0012,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-012-img_6bf22d58884f.webp,category-tabs,768,521,#dad6d2,Mobbin MCP cached image export,screenshot-derived
airbnb-marketplace-warm-consumer-0013,screen,styles/airbnb-marketplace-warm-consumer/evidence/mobbin/screens/screen-013-img_83d6c8532b09.webp,listing-card,768,521,#a6abab,Mobbin MCP cached image export,screenshot-derived
