id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
cursor-ai-ide-0001,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-001-img_042658d01ccb.webp,editor-shell,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0002,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-002-img_0ae1db8675b2.webp,file-explorer,768,521,#dcdad8,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0003,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-003-img_25c8b4c98bea.webp,ai-chat-panel,768,521,#a0a0a0,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0004,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-004-img_2f6e92260f93.webp,composer-command-card,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0005,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-005-img_38947b0a7c59.webp,diff-review-pane,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0006,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-006-img_389a15d9764a.webp,terminal-panel,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0007,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-007-img_406f53bec6e5.webp,model-selector,768,521,#e8e8e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0008,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-008-img_459a35f58747.webp,settings-preferences,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0009,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-009-img_5a1baf79732d.webp,pricing-plan-grid,768,521,#a0a0a0,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0010,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-010-img_75bffbc1f79d.webp,onboarding-import-project,768,521,#e8e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0011,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-011-img_79760405267d.webp,editor-shell,768,521,#e9e8e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0012,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-012-img_99348ad1aedf.webp,file-explorer,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0013,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-013-img_9d57732bc8c8.webp,ai-chat-panel,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0014,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-014-img_a58fdc10468c.webp,composer-command-card,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0015,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-015-img_a5a656267a4a.webp,diff-review-pane,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0016,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-016-img_aba550a7168d.webp,terminal-panel,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0017,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-017-img_b8367d38fdd1.webp,model-selector,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0018,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-018-img_dab186de09b6.webp,settings-preferences,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0019,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-019-img_f225a06cd89b.webp,pricing-plan-grid,768,521,#e9e9e9,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0020,screen,styles/cursor-ai-ide/evidence/mobbin/screens/screen-020-img_fdd56fb3993a.webp,onboarding-import-project,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0021,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-001-img_112101d3da23.webp,editor-shell,768,523,#26282d,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0022,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-002-img_2d1864db7afc.webp,file-explorer,768,353,#dededa,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0023,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-003-img_2d3f14b527b5.webp,ai-chat-panel,768,481,#dcdbd6,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0024,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-004-img_5524c0eb3c88.webp,composer-command-card,768,396,#e0dfdd,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0025,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-005-img_56c9f8e4a1cf.webp,diff-review-pane,768,529,#28292a,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0026,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-006-img_6320628cf5d1.webp,terminal-panel,768,528,#d2e49a,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0027,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-007-img_6a3d58bab4a6.webp,model-selector,768,282,#d4d4d4,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0028,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-008-img_6c9c7839a1d9.webp,settings-preferences,768,434,#e0e0dd,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0029,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-009-img_7b90790bbd48.webp,pricing-plan-grid,332,661,#d2c4be,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0030,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-010-img_7e783224d237.webp,onboarding-import-project,768,427,#dfdeda,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0031,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-011-img_8ba519e8bf18.webp,editor-shell,768,610,#969284,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0032,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-012-img_a70e1c83e6dc.webp,file-explorer,768,650,#e8e8e5,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0033,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-013-img_aaf5fe6b3610.webp,ai-chat-panel,443,666,#09090a,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0034,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-014-img_c0fac4201706.webp,composer-command-card,768,528,#dcdbd8,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0035,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-015-img_d1708c8668eb.webp,diff-review-pane,768,667,#eeeeee,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0036,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-016-img_d62803d7dad4.webp,terminal-panel,768,506,#e4e3e3,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0037,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-017-img_db8e1f089ed9.webp,model-selector,768,469,#e5e5e5,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0038,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-018-img_f26edec942e5.webp,settings-preferences,768,521,#e4e4e4,Mobbin MCP cached image export,screenshot-derived
cursor-ai-ide-0039,section,styles/cursor-ai-ide/evidence/mobbin/sections/section-019-img_f879d0167578.webp,pricing-plan-grid,768,528,#dbd9d5,Mobbin MCP cached image export,screenshot-derived
