id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
figma-collaborative-canvas-0001,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-001-img_03f4762b62c5.webp,canvas-editor-shell,768,521,#eaeaea,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0002,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-002-img_09c521844722.webp,layers-panel,768,521,#eaeaea,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0003,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-003-img_2ecbeb066f91.webp,properties-inspector,768,521,#ebe7e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0004,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-004-img_3f0c2611e8fc.webp,toolbar-controls,768,521,#ebe8e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0005,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-005-img_431cd98caf8b.webp,comment-thread,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0006,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-006-img_437f76938594.webp,multiplayer-presence,768,521,#eaeaea,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0007,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-007-img_452800de91a3.webp,file-browser-grid,768,521,#e7e7e7,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0008,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-008-img_4741a247ef4f.webp,prototype-flow,768,521,#e9e9e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0009,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-009-img_5d83f060763f.webp,pricing-plan-grid,768,521,#e6e5e4,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0010,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-010-img_60e69cf4aa1f.webp,figjam-board,768,521,#e5e5e5,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0011,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-011-img_65c83b5f303b.webp,canvas-editor-shell,768,521,#ebe7e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0012,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-012-img_7653203e163e.webp,layers-panel,768,521,#e6e6e6,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0013,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-013-img_9520a4a3b10e.webp,properties-inspector,768,521,#c8dbea,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0014,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-014-img_a0ba3cc007da.webp,toolbar-controls,768,521,#e9e5e6,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0015,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-015-img_b7aa9eeb27ff.webp,comment-thread,768,521,#e9e8e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0016,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-016-img_c20e7be72329.webp,multiplayer-presence,768,521,#ececed,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0017,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-017-img_c4db7c2358ed.webp,file-browser-grid,768,521,#f1f0f1,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0018,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-018-img_eb52e106f55d.webp,prototype-flow,768,521,#e7e7e7,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0019,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-019-img_f658b7ee433e.webp,pricing-plan-grid,768,521,#e6e7e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0020,screen,styles/figma-collaborative-canvas/evidence/mobbin/screens/screen-020-img_f67f809efdf8.webp,figjam-board,768,521,#ece8e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0021,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-001-img_0f29e5f1af33.webp,canvas-editor-shell,768,523,#e5e6e6,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0022,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-002-img_11b10a40880a.webp,layers-panel,768,523,#dbd0cc,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0023,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-003-img_19f64642b5c5.webp,properties-inspector,768,523,#5e5c59,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0024,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-004-img_2e7c09308659.webp,toolbar-controls,768,523,#aab5c9,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0025,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-005-img_4b0cfa6f3817.webp,comment-thread,768,521,#b496b7,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0026,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-006-img_6968d3ec8137.webp,multiplayer-presence,768,523,#e5e4e7,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0027,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-007-img_7126f70ceb80.webp,file-browser-grid,768,521,#e4e3e0,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0028,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-008-img_82261211a1d3.webp,prototype-flow,768,523,#c2b897,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0029,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-009-img_8c2ad3e17ab3.webp,pricing-plan-grid,768,523,#e6e7e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0030,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-010-img_9e9bc0913734.webp,figjam-board,768,523,#e8e5de,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0031,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-011-img_a3f5b521eef6.webp,canvas-editor-shell,768,523,#e8e8ea,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0032,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-012-img_acd3eed11471.webp,layers-panel,768,523,#dcd3e3,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0033,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-013-img_beedad46184a.webp,properties-inspector,768,523,#322c2a,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0034,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-014-img_d71c43a823dc.webp,toolbar-controls,768,523,#d9d9d7,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0035,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-015-img_dc6abf85940a.webp,comment-thread,768,523,#ceb5df,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0036,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-016-img_e23058326da5.webp,multiplayer-presence,768,523,#e0dde4,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0037,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-017-img_e4cb10262917.webp,file-browser-grid,768,523,#e0dcdf,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0038,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-018-img_e4ec05913784.webp,prototype-flow,768,523,#a9b9c5,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0039,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-019-img_f6e0788ce8a9.webp,pricing-plan-grid,768,523,#eaeaeb,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0040,section,styles/figma-collaborative-canvas/evidence/mobbin/sections/section-020-img_f8b1dcfac921.webp,figjam-board,768,521,#ced1c6,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0041,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-001-img_0024a647ae55.webp,canvas-editor-shell,768,521,#828180,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0042,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-002-img_0748635cc0d9.webp,layers-panel,768,521,#e7e7e5,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0043,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-003-img_23baaad9b7dc.webp,properties-inspector,768,521,#dfdfe0,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0044,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-004-img_2448f1e11a25.webp,toolbar-controls,768,521,#ecebea,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0045,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-005-img_650c9e7d616e.webp,comment-thread,768,521,#e6e6e3,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0046,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-006-img_6c44a95be3d3.webp,multiplayer-presence,768,521,#e7e6e7,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0047,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-007-img_702a47721c4c.webp,file-browser-grid,768,521,#cadeed,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0048,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-008-img_717a40e23c70.webp,prototype-flow,768,521,#e7e7e7,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0049,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-009-img_756a5c0e6952.webp,pricing-plan-grid,768,521,#edecec,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0050,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-010-img_815d1366fd49.webp,figjam-board,768,521,#e4e3e1,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0051,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-011-img_95de129da4a6.webp,canvas-editor-shell,768,521,#d2d2d1,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0052,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-012-img_9fa848a2718e.webp,layers-panel,768,521,#e0e0e1,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0053,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-013-img_ae064f7b2132.webp,properties-inspector,768,521,#c2beaa,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0054,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-014-img_b82d9268ea82.webp,toolbar-controls,768,521,#ecebeb,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0055,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-015-img_ceb7719c55c8.webp,comment-thread,768,521,#ecebea,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0056,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-016-img_d9eaf6e8b43e.webp,multiplayer-presence,768,521,#706f6b,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0057,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-017-img_dae13d30bf2f.webp,file-browser-grid,768,521,#e8e8e8,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0058,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-018-img_e6b340e8ad68.webp,prototype-flow,768,521,#dbdbdb,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0059,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-019-img_f705ed0abb77.webp,pricing-plan-grid,768,521,#d2d2d1,Mobbin MCP cached image export,screenshot-derived
figma-collaborative-canvas-0060,flow,styles/figma-collaborative-canvas/evidence/mobbin/flows/flow-preview-020-img_faedbf26a818.webp,figjam-board,768,521,#cbdeec,Mobbin MCP cached image export,screenshot-derived
