id,source_type,local_path,component_match,width,height,avg_hex,provenance,implementation_status
raycast-command-native-0001,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-001-img_0495704f5ed5.webp,command-palette,768,521,#e1e2e6,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0002,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-002-img_10fa7e933ff2.webp,extension-card-grid,768,521,#e3e3e6,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0003,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-003-img_1761e8651150.webp,shortcut-row,768,521,#d9d9d9,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0004,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-004-img_18993ec5a86e.webp,ai-action-panel,768,521,#ececec,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0005,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-005-img_2dca3b4dcc98.webp,preferences-modal,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0006,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-006-img_3afe9950389e.webp,team-admin-table,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0007,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-007-img_42de79213f84.webp,onboarding-install,768,521,#ebebeb,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0008,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-008-img_4ba3124d5b6a.webp,pricing-card,768,521,#ededed,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0009,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-009-img_6efeed6622b8.webp,search-results-list,768,523,#ebeaea,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0010,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-010-img_769c511bd38b.webp,empty-state-command,768,521,#d7d3db,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0011,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-011-img_7960873b3c09.webp,command-palette,768,521,#c7c5c6,Mobbin MCP cached image export,screenshot-derived
raycast-command-native-0012,screen,styles/raycast-command-native/evidence/mobbin/screens/screen-012-img_84aaf86ab8c5.webp,extension-card-grid,768,523,#9b9fa5,Mobbin MCP cached image export,screenshot-derived
